Ni_frac,Fe_frac,Co_frac,Cu_frac,Mo_frac,Mn_frac,Cr_frac,V_frac,EN_mean,EN_std,EN_var,EN_mismatch,Radius_mean,Radius_std,Radius_var,Radius_mismatch,VEC,VEC_mismatch,mix_entropy,d_band_proxy,Predicted_DeltaG_H
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,128.0,0.0,0.0,0.0,11.0,0.0,1.9341714781149983e-10,10.0,0.022899999999999972
0.0,0.0,0.012,0.988,0.0,0.0,0.0,0.0,1.89976,0.002177705214210594,4.742400000000009e-06,0.01976,127.964,0.3266557821315888,0.10670400000000001,2.9639999999999986,10.976,2.0,0.0650018939755738,9.963999999999999,0.022333333333333302
0.0,0.0,0.025,0.975,0.0,0.0,0.0,0.0,1.8994999999999997,0.003122498999199202,9.750000000000018e-06,0.01949999999999985,127.925,0.4683748498798799,0.21937500000000001,2.924999999999997,10.95,2.0,0.11690684930331718,9.925,0.022333333333333302
0.0,0.0,0.038,0.962,0.0,0.0,0.0,0.0,1.8992399999999998,0.0038239246854508036,1.4622400000000026e-05,0.019239999999999924,127.886,0.57358870281762,0.32900399999999996,2.8859999999999957,10.924,2.0,0.1615351035379109,9.886,0.021899999999999975
0.0,0.0,0.05,0.95,0.0,0.0,0.0,0.0,1.899,0.004358898943540678,1.900000000000004e-05,0.019000000000000128,127.85,0.653834841531101,0.42750000000000005,2.8499999999999943,10.899999999999999,2.0,0.19851524351165872,9.85,0.02191666666666664
0.0,0.0,0.062,0.938,0.0,0.0,0.0,0.0,1.8987599999999998,0.00482311102920097,2.3262400000000043e-05,0.018759999999999888,127.814,0.7234666543801449,0.5234040000000001,2.813999999999993,10.876,2.0,0.2324354951072888,9.813999999999998,0.02144999999999998
0.0,0.0,0.075,0.925,0.0,0.0,0.0,0.0,1.8985,0.005267826876426374,2.7750000000000048e-05,0.018500000000000183,127.775,0.7901740314639554,0.6243749999999999,2.7750000000000057,10.850000000000001,2.0,0.26638446343370653,9.775,0.02141666666666665
0.0,0.0,0.088,0.912,0.0,0.0,0.0,0.0,1.89824,0.005665897987080252,3.2102400000000054e-05,0.018240000000000034,127.736,0.849884698062037,0.7223039999999998,2.736000000000004,10.824,2.0,0.29788596852605076,9.736,0.02141666666666665
0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,1.898,0.006000000000000005,3.600000000000006e-05,0.018000000000000016,127.7,0.9,0.81,2.700000000000003,10.8,2.0,0.32508297355723437,9.7,0.02139999999999998
0.0,0.0,0.112,0.888,0.0,0.0,0.0,0.0,1.8977600000000001,0.006307329070216653,3.978240000000007e-05,0.01776000000000022,127.664,0.9460993605324971,0.8951039999999999,2.6640000000000015,10.776,2.0,0.35067649778582555,9.664000000000001,0.01764999999999997
0.0,0.0,0.125,0.875,0.0,0.0,0.0,0.0,1.8975,0.006614378277661482,4.3750000000000074e-05,0.01750000000000007,127.625,0.9921567416492215,0.9843750000000001,2.625,10.75,2.0,0.37677016142222286,9.625,0.01764999999999997
0.0,0.0,0.138,0.862,0.0,0.0,0.0,0.0,1.89724,0.006897999710060888,4.7582400000000095e-05,0.017240000000000144,127.586,1.0346999565091322,1.070604,2.5859999999999985,10.724,2.0,0.4013162272841254,9.585999999999999,0.017399999999999978
0.0,0.0,0.15,0.85,0.0,0.0,0.0,0.0,1.897,0.007141428428542857,5.1000000000000094e-05,0.017000000000000126,127.55,1.0712142642814275,1.1475,2.549999999999997,10.7,2.0,0.422709087971777,9.55,0.017266666666666645
0.0,0.0,0.162,0.838,0.0,0.0,0.0,0.0,1.8967599999999998,0.007369016216565146,5.43024000000001e-05,0.016759999999999886,127.514,1.105352432484771,1.2218040000000003,2.513999999999996,10.676,2.0,0.4429715046362913,9.514,0.017266666666666645
0.0,0.0,0.175,0.825,0.0,0.0,0.0,0.0,1.8964999999999999,0.007599342076785339,5.77500000000001e-05,0.01649999999999996,127.475,1.1399013115177998,1.2993750000000002,2.4749999999999943,10.649999999999999,2.0,0.4637264399851964,9.475,0.017266666666666645
0.0,0.0,0.188,0.812,0.0,0.0,0.0,0.0,1.89624,0.007814243405474397,6.10624000000001e-05,0.016240000000000032,127.436,1.1721365108211586,1.373904,2.436000000000007,10.624,2.0,0.4833099139246101,9.436000000000002,0.016666666666666642
0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,1.896,0.008000000000000007,6.400000000000012e-05,0.016000000000000014,127.4,1.2,1.44,2.4000000000000057,10.600000000000001,2.0,0.5004024237039739,9.4,0.016549999999999974
0.0,0.0,0.213,0.788,0.0,0.0,0.0,0.0,1.8957442557442556,0.008185568150384247,6.700352594458498e-05,0.015744255744255753,127.36163836163836,1.227835222557636,1.5075793337531598,2.361638361638356,10.574425574425574,2.0,0.517143308322789,9.361638361638361,0.01646666666666664
0.0,0.0,0.225,0.775,0.0,0.0,0.0,0.0,1.8955,0.00835164654424504,6.975000000000012e-05,0.01550000000000007,127.325,1.252746981636755,1.569375,2.325000000000003,10.55,2.0,0.5331638409030847,9.325,0.016749999999999973
0.0,0.0,0.238,0.762,0.0,0.0,0.0,0.0,1.8952399999999998,0.00851718263277242,7.254240000000012e-05,0.01523999999999992,127.286,1.2775773949158618,1.6322039999999998,2.2860000000000014,10.524,2.0,0.5487635833808877,9.286,0.015216666666666632
0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.0,1.8949999999999998,0.008660254037844393,7.500000000000012e-05,0.014999999999999902,127.25,1.299038105676658,1.6875,2.25,10.5,2.0,0.5623351447845943,9.25,0.0142833333333333
