Ni_frac,Fe_frac,Co_frac,Mo_frac,Cu_frac,Mn_frac,Cr_frac,V_frac,EN_mean,EN_std,EN_var,EN_mismatch,Radius_mean,Radius_std,Radius_var,Radius_mismatch,VEC,VEC_mismatch,mix_entropy,d_band_proxy,Predicted_DeltaG_H
0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,1.87,0.01999999999999993,0.00039999999999999725,0.040000000000000036,126.4,2.8000000000000003,7.840000000000002,5.599999999999994,8.8,1.0,0.5004024237039739,6.800000000000001,-0.04706314
0.0,0.21,0.79,0.0,0.0,0.0,0.0,0.0,1.8695,0.02036541185441623,0.00041474999999999704,0.03949999999999987,126.47,2.851157659618282,8.1291,5.530000000000001,8.790000000000001,1.0,0.5139566707830117,6.79,-0.038911644
0.0,0.22,0.78,0.0,0.0,0.0,0.0,0.0,1.869,0.020712315177207907,0.000428999999999997,0.038999999999999924,126.53999999999999,2.8997241248091172,8.4084,5.460000000000008,8.780000000000001,1.0,0.5269079615971664,6.78,-0.038543504
0.0,0.23,0.77,0.0,0.0,0.0,0.0,0.0,1.8685,0.02104162541250074,0.0004427499999999969,0.03849999999999998,126.61,2.945827557750114,8.677900000000001,5.390000000000001,8.77,1.0,0.5392763416628364,6.7700000000000005,-0.038543504
0.0,0.24,0.76,0.0,0.0,0.0,0.0,0.0,1.8679999999999999,0.021354156504062544,0.00045599999999999666,0.03799999999999981,126.68,2.9895819105687673,8.937600000000002,5.319999999999993,8.76,1.0,0.5510799282527589,6.76,-0.038543504
0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.0,1.8675,0.02165063509461089,0.0004687499999999967,0.03749999999999987,126.75,3.031088913245535,9.1875,5.25,8.75,1.0,0.5623351447845943,6.75,-0.040717978
0.0,0.26,0.74,0.0,0.0,0.0,0.0,0.0,1.867,0.02193171219946123,0.0004809999999999966,0.03699999999999992,126.82,3.0704397079245833,9.4276,5.180000000000007,8.74,1.0,0.5730569172972064,6.74,-0.039097898
0.0,0.27,0.73,0.0,0.0,0.0,0.0,0.0,1.8664999999999998,0.022197972880423036,0.0004927499999999966,0.036499999999999755,126.89,3.107716203259236,9.657900000000001,5.109999999999999,8.73,1.0,0.583258840294383,6.7299999999999995,-0.039097898
0.0,0.28,0.72,0.0,0.0,0.0,0.0,0.0,1.866,0.02244994432064357,0.0005039999999999965,0.03600000000000003,126.96000000000001,3.142992204890111,9.878400000000003,5.039999999999992,8.719999999999999,1.0,0.5929533176132605,6.720000000000001,-0.039097898
0.0,0.29,0.71,0.0,0.0,0.0,0.0,0.0,1.8654999999999997,0.022688102609076773,0.0005147499999999963,0.03549999999999964,127.03,3.1763343652707596,10.0891,4.969999999999999,8.709999999999999,1.0,0.6021516827584661,6.709999999999999,-0.039097898
0.0,0.3,0.7,0.0,0.0,0.0,0.0,0.0,1.8649999999999998,0.02291287847477912,0.0005249999999999963,0.0349999999999997,127.1,3.207802986469088,10.29,4.900000000000006,8.7,1.0,0.6108643022206796,6.699999999999999,-0.038908463
0.0,0.31,0.69,0.0,0.0,0.0,0.0,0.0,1.8645,0.023124662159694272,0.0005347499999999962,0.034499999999999975,127.17,3.2374527023572095,10.481099999999998,4.829999999999998,8.69,1.0,0.6191006645913731,6.6899999999999995,-0.035269637
0.0,0.32,0.68,0.0,0.0,0.0,0.0,0.0,1.8639999999999999,0.023323807579381118,0.0005439999999999961,0.03399999999999981,127.24000000000001,3.265333061113368,10.6624,4.759999999999991,8.68,1.0,0.6268694577382123,6.680000000000001,-0.035269637
0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,1.8635000000000002,0.02351063589101741,0.0005527499999999961,0.033500000000000085,127.31,3.2914890247424493,10.8339,4.689999999999998,8.67,1.0,0.6341786358779917,6.67,-0.034442797
0.0,0.34,0.66,0.0,0.0,0.0,0.0,0.0,1.863,0.023685438564653938,0.000560999999999996,0.03299999999999992,127.38,3.3159613990515635,10.995600000000003,4.6200000000000045,8.66,1.0,0.6410354780469416,6.66,-0.034442797
0.0,0.35,0.65,0.0,0.0,0.0,0.0,0.0,1.8624999999999998,0.023848480035423555,0.0005687499999999959,0.03249999999999975,127.44999999999999,3.3387872049593095,11.147499999999997,4.550000000000011,8.65,1.0,0.6474466392004186,6.6499999999999995,-0.032036483
0.0,0.36,0.64,0.0,0.0,0.0,0.0,0.0,1.862,0.023999999999999917,0.000575999999999996,0.03200000000000003,127.52,3.36,11.289599999999998,4.480000000000004,8.64,1.0,0.6534181949594878,6.640000000000001,-0.032464676
0.0,0.37,0.63,0.0,0.0,0.0,0.0,0.0,1.8615,0.024140215409146536,0.0005827499999999958,0.03149999999999986,127.59,3.379630157280527,11.421899999999999,4.409999999999997,8.629999999999999,1.0,0.6589556808488488,6.63,-0.032464676
0.0,0.38,0.62,0.0,0.0,0.0,0.0,0.0,1.861,0.024269322199023106,0.0005889999999999958,0.030999999999999917,127.66,3.397705107863247,11.5444,4.340000000000003,8.620000000000001,1.0,0.6640641267298941,6.62,-0.032464676
0.0,0.39,0.61,0.0,0.0,0.0,0.0,0.0,1.8604999999999998,0.02438749679651431,0.0005947499999999958,0.03049999999999975,127.73,3.4142495515120155,11.657099999999998,4.269999999999996,8.61,1.0,0.6687480870175955,6.609999999999999,-0.032464676
0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,1.8599999999999999,0.024494897427831695,0.0005999999999999958,0.029999999999999805,127.80000000000001,3.4292856398964493,11.76,4.199999999999989,8.6,1.0,0.6730116671750426,6.6000000000000005,-0.032464676
