Ni_frac,Fe_frac,Co_frac,Mo_frac,Cu_frac,Mn_frac,Cr_frac,V_frac,EN_mean,EN_std,EN_var,EN_mismatch,Radius_mean,Radius_std,Radius_var,Radius_mismatch,VEC,VEC_mismatch,mix_entropy,d_band_proxy,Predicted_DeltaG_H
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.88,0.0,0.0,0.0,125.0,0.0,0.0,0.0,9.0,0.0,1.9341714781149983e-10,7.0,-0.04771666666666664
0.0,0.01,0.99,0.0,0.0,0.0,0.0,0.0,1.8795,0.004974937185533082,2.4749999999999826e-05,0.04949999999999988,125.07,0.696491205974634,0.48510000000000003,6.930000000000007,8.99,1.0,0.05600153452063347,6.989999999999999,-0.04561666666666664
0.0,0.02,0.98,0.0,0.0,0.0,0.0,0.0,1.8789999999999998,0.006999999999999975,4.899999999999965e-05,0.04899999999999971,125.14,0.98,0.9603999999999999,6.859999999999999,8.98,1.0,0.09803911344551813,6.9799999999999995,-0.04526666666666665
0.0,0.03,0.97,0.0,0.0,0.0,0.0,0.0,1.8784999999999998,0.00852936105461596,7.274999999999949e-05,0.048499999999999766,125.21,1.1941105476462386,1.4258999999999997,6.790000000000006,8.97,1.0,0.13474216834555292,6.97,-0.04548333333333331
0.0,0.04,0.96,0.0,0.0,0.0,0.0,0.0,1.8779999999999997,0.009797958971132678,9.599999999999934e-05,0.0479999999999996,125.28,1.3717142559585798,1.8816000000000002,6.719999999999999,8.96,1.0,0.1679441478999591,6.96,-0.04353333333333332
0.0,0.05,0.95,0.0,0.0,0.0,0.0,0.0,1.8774999999999997,0.010897247358851645,0.00011874999999999916,0.047499999999999654,125.35,1.5256146302392357,2.3275,6.650000000000006,8.95,1.0,0.19851524351165872,6.949999999999999,-0.04338333333333333
0.0,0.06,0.94,0.0,0.0,0.0,0.0,0.0,1.8769999999999998,0.011874342087037875,0.00014099999999999898,0.04699999999999971,125.42,1.6624078921853083,2.7635999999999994,6.579999999999998,8.94,1.0,0.2269675226663906,6.94,-0.04348333333333332
0.0,0.07,0.93,0.0,0.0,0.0,0.0,0.0,1.8765,0.012757350822173028,0.00016274999999999883,0.046499999999999986,125.49,1.7860291151042305,3.1899000000000006,6.510000000000005,8.930000000000001,1.0,0.2536389470874775,6.930000000000001,-0.043433333333333345
0.0,0.08,0.92,0.0,0.0,0.0,0.0,0.0,1.8760000000000001,0.013564659966250489,0.00018399999999999873,0.04600000000000004,125.56,1.899052395275075,3.6064,6.439999999999998,8.920000000000002,1.0,0.2787693719343735,6.92,-0.04235000000000001
0.0,0.09,0.91,0.0,0.0,0.0,0.0,0.0,1.8755,0.014309088021254133,0.00020474999999999853,0.045499999999999874,125.63,2.0032723229755858,4.0131,6.3700000000000045,8.91,1.0,0.3025378232632842,6.91,-0.042150000000000014
